Force,Signal Name,Tag,Construct,Linguistic Surface,Boundary,Theoretical Anchor,Valence Applicability,Speaker State Applicability,Multi-Label Co-occurrence,Example 1,Example 2,Example 3
DEMAND GRAVITY,Shortlisting Signals,shortlisting_signals,The reduction of the evoked set to a final choice set of typically two to four options — the narrow subset from which the actual decision will be made (Roberts & Lattin 1991 consideration-set models).,"Enumeration and elimination language: 'down to', 'between these two', 'final two', 'my last two options', 'narrowed it down to'.",Not Product Consideration (broader evoked set). Not Evaluation Initiation (which is the *process* of comparing within the shortlist). Shortlisting is the *state* of having narrowed.,Roberts & Lattin (1991); Shocker et al. (1991) consideration set,"positive, neutral",prospective,"Evaluation Initiation, Brand Comparison, Decision Confidence Signals",It's down to this one and the competitor — final two on my list.,I've narrowed it down to three options; this is one of them.,Killed the rest of the shortlist; just deciding between these two now.
DEMAND GRAVITY,Evaluation Initiation,evaluation_initiation,"The act of beginning a structured comparison process within the shortlist — initiating side-by-side evaluation of attributes, performance, or fit. Marks the transition from exploration to formal deliberation.","Statements about starting comparisons: 'started comparing', 'putting them side by side', 'building a comparison', 'now actually evaluating'.","Not Pros vs Cons Evaluation (Choice Architecture — which is the *content* of weighing). Evaluation Initiation is the *kickoff*, before structured pros/cons emerge.","Bettman, Luce & Payne (1998) constructive choice; Payne (1976) decision strategies","positive, neutral",prospective,"Shortlisting Signals, Pros vs Cons Evaluation, Trade-off Discussion",I've started comparing the specs against my current device.,Just opened a tab for each option — time to actually evaluate.,Going to spend this weekend doing a proper side-by-side.
DEMAND GRAVITY,Purchase Intent,purchase_intent,A declared firm commitment to acquire the brand or product. Strongest individual-level predictor of actual purchase in the Fishbein-Ajzen Theory of Reasoned Action (1975) and Ajzen's Theory of Planned Behaviour (1991).,"Decisive future-tense or imminent-action language: 'I'm going to buy', 'ordering this', 'about to pull the trigger', 'placing the order', 'decided — buying'.",Not Trial Intent (which is reversible/limited). Not First-time Purchase Intent (which adds the no-prior-experience qualifier). Not Repurchase Intent in Reinforcement Stability (which requires active_user state).,Fishbein & Ajzen (1975) Theory of Reasoned Action; Ajzen (1991) Theory of Planned Behaviour,positive,prospective,"First-time Purchase Intent, Upgrade Intent, Decision Confidence Signals",I'm buying the Pro version this weekend. Decided.,Placing the order tonight — done deliberating.,About to hit the buy button as soon as my paycheck clears.
DEMAND GRAVITY,Trial Intent,trial_intent,"A declared desire for a low-commitment, reversible engagement with the product — a sample, demo, trial period, or rental. Indicates the consumer wants to reduce perceived risk before full commitment (Bauer 1960 perceived risk theory).","Requests for reversible engagement: 'is there a trial?', 'can I test it first?', 'free sample?', '7-day return?', 'demo available?', 'try before I buy'.","Not Purchase Intent (which is full commitment). Not Competitor Trial Signals (which is trying a rival specifically for comparison). Trial Intent is brand-focused, risk-reducing.",Bauer (1960) perceived risk; Roselius (1971) risk reduction strategies,"positive, neutral","prospective, never_user","Risk Concerns, Reliability Concerns, First-time Purchase Intent",Is there a way to get a sample or a 7-day trial?,Do they offer a demo period? I want to try before committing.,Anyone know if they do a money-back guarantee? Want to test it first.
DEMAND GRAVITY,First-time Purchase Intent,first_time_purchase_intent,"Purchase Intent qualified by the speaker's explicit acknowledgment of no prior experience with the brand. Theoretically important because it indexes *acquisition* rather than *retention* demand — critical for category penetration and growth modelling (Sharp 2010, How Brands Grow).","Purchase Intent language combined with novelty markers: 'never used them before, but', 'first time trying this brand', 'switching from [other] for the first time'.","Not Purchase Intent (which is brand-agnostic regarding history). Not Switching Signals (which is comparative and implies abandoning another brand). First-time intent is about the *speaker's* history, not the relational move.",Sharp (2010) How Brands Grow; Ehrenberg (1959) purchase incidence models,positive,never_user,"Purchase Intent, Brand Discovery, Trial Intent","I've never bought this brand before, but I'm going to give it a shot this time.",First time trying them — fingers crossed.,Switching from my usual brand for the first time. Excited and nervous.
DEMAND GRAVITY,Upgrade Intent,upgrade_intent,The intent to move within the same brand from a lower tier or older version to a higher tier or newer version. Distinct from cross-brand replacement; indicates within-brand vertical mobility and is a key indicator of brand affinity combined with growth willingness.,"Within-brand upgrade language: 'upgrading from my [model]', 'moving up to the Pro', 'getting the Max version', 'going from [old version] to [new version]'.",Not Replacement Intent (which can be brand-agnostic or cross-brand). Not Upgrade Loyalty in Reinforcement Stability (which is the *completed* act with loyalty framing). Upgrade Intent is prospective and tier-focused within the brand.,Ratchford (2001) economics of consumer search; Bayus (1991) product upgrade research,positive,active_user,"Upgrade Value Signals, Repurchase Intent, Upgrade Loyalty",I have the base model but I'm upgrading to the Max next month.,Time to move from my Gen 2 to the new Gen 4.,Been on the standard tier for two years — finally ready to go Pro.
DEMAND GRAVITY,Replacement Intent,replacement_intent,"The intent to replace a currently owned product that is failing, ageing, or no longer fit-for-purpose. May or may not specify the replacement brand. Distinct from upgrade because it is driven by *necessity* or *attrition* rather than *aspiration*.","Replacement-need language: 'my current one is dying', 'need to replace', 'time for a new one', 'this one broke', 'it's the end of life for my [product]'.","Not Upgrade Intent (which is aspirational, within-brand, tier-focused). Replacement Intent often creates a *new* shortlisting moment and can fire alongside Switching Signals if the speaker is considering a different brand.",Bayus (1991) product replacement; Antonides (1991) durable replacement decisions,"positive, neutral","active_user, lapsed_user","Switching Signals, Brand Comparison, Purchase Intent",My laptop is on its last legs — I need to replace it ASAP.,After 6 years my old one finally gave up. Time for a new one.,The screen cracked beyond repair — getting a replacement this weekend.
DEMAND GRAVITY,Product Lifecycle Signals,product_lifecycle_signals,"Consumer awareness of where a specific product sits within its market lifecycle — introduction, growth, maturity, or decline (Levitt 1965 product lifecycle theory). Influences timing decisions around purchase, upgrade, and inventory.","Lifecycle-stage queries and observations: 'is this still being made?', 'is a new version coming?', 'is the current model end-of-life?', 'should I wait for the refresh?'.","Not Product Launch Interest (Market Tempo — which is forward-looking anticipation of a *new* launch). Lifecycle Signals are about the *current* product's position in time, often relative to a potential successor.",Levitt (1965) product lifecycle theory; Day (1981) PLC empirical evidence,neutral,"prospective, active_user","Purchase Delay Signals, Discount Expectation, Product Launch Interest","Is a new version coming out soon, or is this the latest model?",Is this end-of-life? Don't want to buy something they're about to discontinue.,When's the next refresh expected? Worth waiting or buying now?
CHOICE ARCHITECTURE PRESSURE,Choice Overload,choice_overload,The subjective experience of cognitive and emotional fatigue arising from having too many options to evaluate. Empirically established in Iyengar & Lepper (2000) as reducing both decision satisfaction and likelihood of purchase. Reflects an input-level failure of the choice architecture.,"Fatigue and overwhelm language tied to option counts: 'too many choices', 'overwhelmed', 'so many options I can't keep track', 'my head is spinning', 'don't know where to start'.",Not Decision Paralysis (which is the *behavioural* outcome of overload — deferral or non-choice). Overload describes the *experience* of input excess; paralysis describes the *output*.,Iyengar & Lepper (2000) jam study; Schwartz (2004) Paradox of Choice; Scheibehenne et al. (2010) meta-analysis,negative,prospective,"Decision Paralysis, Option Abundance Language, Advice Seeking Signals",I'm looking at 12 different models and I genuinely have no idea which is for me.,There are just way too many variants — my head is spinning.,Honestly overwhelmed by the number of options. Where do I even start?
CHOICE ARCHITECTURE PRESSURE,Decision Paralysis,decision_paralysis,"The behavioural outcome of choice difficulty — explicit deferral, abandonment, or non-decision. Represents the consumer's exit from the funnel due to friction rather than disinterest. Strongly predictive of lost conversion.","Statements of abandonment or stalled action: 'can't decide', 'might just not buy anything', 'giving up', 'putting it on hold indefinitely', 'too hard, walking away'.","Not Choice Overload (the *cause*). Not Purchase Delay Signals (which give a *reason* for delay — waiting for a launch, sale, etc.). Paralysis has no exit plan.","Iyengar, Wells & Schwartz (2006) deferred decision-making; Anderson (2003) decision avoidance",negative,prospective,"Choice Overload, Decision Uncertainty, Risk Concerns",I've been looking for weeks and still can't decide. I might just not buy anything.,Honestly given up trying to pick one. Sticking with what I have.,Too many trade-offs — I keep going in circles. Just walking away.
CHOICE ARCHITECTURE PRESSURE,Option Abundance Language,option_abundance_language,Descriptive observations about the breadth of options available in the category — neutral or evaluative commentary on assortment size without necessarily expressing personal overload.,"Observational statements about assortment: 'huge catalog', 'they have everything', 'so many variants', 'massive selection', 'options for every use case'.",Not Choice Overload (which is the *fatigue response*). Option Abundance can be positive ('great variety') or simply observational. This signal becomes Choice Overload only when paired with fatigue language.,Iyengar & Lepper (2000) assortment effects; Chernev (2003) assortment perception,"positive, negative, neutral",any,"Choice Overload, Product Exploration",Their catalog is huge — they have a model for literally every use case.,The variety is unreal. There's something for everyone.,"So many SKUs in this category right now, it's wild."
CHOICE ARCHITECTURE PRESSURE,Information Seeking,information_seeking,"Active requests for specific, missing factual information about a product or feature. Indicates an information gap in the brand's communication that is blocking the decision process — a *data gap*.","Direct factual questions about absent information: 'does it have [X]?', 'what is the [spec]?', 'is it [property]?', 'does anyone know if [factual question]?'.",Not Clarification Requests (which target *ambiguous existing* information — a semantic gap). Not Feature Understanding Questions (which target *how* a feature works — a mental-model gap). Information Seeking targets pure missing facts.,Belkin (1980) Anomalous States of Knowledge; Wilson (1999) information-seeking behaviour,"neutral, negative","prospective, active_user","Clarification Requests, Feature Understanding Questions, Research Behaviour",Does anyone know the actual dimensions of the charging port?,Can't find this anywhere — is it waterproof or just splash-resistant?,What's the warranty period? The website doesn't say.
CHOICE ARCHITECTURE PRESSURE,Clarification Requests,clarification_requests,"Requests for simpler or clearer explanations of information that *is* available but is ambiguous, jargon-heavy, or poorly presented. Indicates a *semantic gap* in the brand's communication.","Requests for re-explanation or simplification: 'can someone explain', 'in plain English', 'what does this actually mean?', 'translate this for me', 'ELI5'.",Not Information Seeking (which requests *missing* facts). Not Feature Understanding Questions (which target the *mechanism* of how a feature works). Clarification is about *legibility* of existing info.,Belkin (1980) information needs; Grice's cooperative principle (1975) on clarity,"negative, neutral","prospective, active_user","Information Seeking, Feature Understanding Questions",Can someone explain the difference between these two tiers in plain English?,What does 'adaptive sync rendering' even mean? ELI5.,Their spec sheet is gibberish — anyone want to translate?
CHOICE ARCHITECTURE PRESSURE,Feature Understanding Questions,feature_understanding_questions,"Questions targeting the underlying mechanism, logic, or use-context of a named feature. Indicates a *mental-model gap* — the consumer knows the feature exists and what it's called but cannot predict how it behaves.","Mechanism questions: 'how does [feature] work?', 'when does [feature] kick in?', 'what triggers [feature]?', 'how is [feature A] different from [feature B]?'.","Not Information Seeking (missing fact). Not Clarification Requests (ambiguous info). Not Feature Curiosity (Demand Gravity — which is *interest* in learning, not confusion). Understanding Questions assume awareness and seek mechanism.",Norman (1988) mental models; Johnson-Laird (1983) mental models theory,"negative, neutral","prospective, active_user","Feature Curiosity, Clarification Requests, Information Seeking",I don't get how 'Smart Sensing' is actually different from a normal motion sensor.,When does the eco mode kick in? Is it automatic or do I toggle it?,Confused about how the AI assistant decides which suggestion to give.
CHOICE ARCHITECTURE PRESSURE,Recommendation Requests,recommendation_requests,"Specific requests for personalised suggestions based on stated needs, constraints, or context. Indicates the consumer has externalised the choice problem and is seeking expert or peer input to scaffold the decision.","Need-anchored requests: 'what's the best for [use case]?', 'I'm a [persona] — what should I get?', 'recommendations for [constraint]?'.",Not Peer Advice Seeking (which targets user *experience* rather than recommendations). Not Community Consultation (which is validation of an already-formed choice). Recommendation Requests are open-ended need-to-product mapping.,Bansal & Voyer (2000) word-of-mouth and search; Murray (1991) personal influence,neutral,prospective,"Peer Advice Seeking, Community Consultation, Choice Overload",I'm a student on a tight budget — what's the best laptop for me?,Recommendations for someone who travels a lot and needs long battery life?,What should I get if I mostly use it for photo editing?
CHOICE ARCHITECTURE PRESSURE,Peer Advice Seeking,peer_advice_seeking,"Requests directed at existing users for their first-hand experience with a specific product or feature. Distinguished by its targeted, experiential nature — the consumer wants lived data, not recommendations.","Owner-targeted questions: 'anyone who owns this — does it actually [X]?', 'real users, is the [feature] worth it?', 'people who've had this for a year, how is it holding up?'.","Not Recommendation Requests (which ask for suggestions, not experience reports). Not Community Consultation (which seeks validation of a specific intended choice).",Murray (1991) personal information sources; Brown & Reingen (1987) word-of-mouth tie strength,neutral,prospective,"Recommendation Requests, Community Consultation, Reliability Concerns",To anyone who owns this — do you actually use the secondary screen?,Owners only please: how is the battery after 6 months of use?,Real users — is the noise as bad as the reviews say?
CHOICE ARCHITECTURE PRESSURE,Community Consultation,community_consultation,"Using a forum, group, or community to validate a tentative choice already formed. The consumer has done the work; they are seeking social confirmation before committing. Functions as a risk-reduction mechanism.","Validation-seeking statements: 'is this a good choice?', 'thinking of getting this — thoughts?', 'am I making a mistake?', 'about to buy — anyone want to talk me out of it?'.",Not Recommendation Requests (which is open-ended). Not Peer Advice Seeking (which is experiential data-gathering). Community Consultation is choice-validation.,Cialdini (1984) social proof; Festinger (1954) social comparison theory,neutral,prospective,"Decision Confidence Signals, Decision Uncertainty, Advice Seeking Signals",About to pull the trigger on this — anyone want to talk me out of it?,Posting here for a sanity check: is this a good deal at this price?,I think this is the right pick but want the community's take before I buy.
CHOICE ARCHITECTURE PRESSURE,Decision Uncertainty,decision_uncertainty,Explicit expression of doubt or hesitation about a tentative or near-final choice. Reflects incomplete confidence and unresolved trade-offs. Predictive of conversion drop-off if unresolved.,"Hedging and doubt language: 'still hesitant', 'not 100% sure', 'something's holding me back', '90% there but', 'gut says no'.",Not Decision Paralysis (which is full stall). Not Risk Concerns (which name a specific fear). Uncertainty is unresolved residual doubt without a specific named cause.,Bettman et al. (1998) decision confidence; Tversky & Shafir (1992) decision conflict,negative,prospective,"Decision Paralysis, Risk Concerns, Community Consultation",I'm 90% sure about this one but that 10% is keeping me from buying.,Something feels off — can't quite put my finger on it.,Gut says yes but my head keeps saying wait.
CHOICE ARCHITECTURE PRESSURE,Risk Concerns,risk_concerns,"Prospective, probabilistic fears about negative outcomes of a purchase — financial, functional, social, psychological, or temporal. Anchored in Bauer's (1960) perceived risk theory and Jacoby & Kaplan's (1972) typology of risk dimensions.","Hypothetical worry framing: 'what if it breaks?', 'worried it'll [bad outcome]', 'concerned about [risk]', 'is this safe to buy from them?'.",Not Reliability Concerns (which is *evidence-based* doubt based on observed failure patterns). Risk Concerns are prospective and probabilistic — the bad thing has not yet happened.,Bauer (1960) perceived risk; Jacoby & Kaplan (1972) risk dimensions; Roselius (1971),negative,prospective,"Reliability Concerns, Decision Uncertainty, Trial Intent",What if it breaks after a month? Is the warranty actually good?,Worried about buying from a brand I don't know — what if it's a dud?,What if I hate it after a week? Returns process is unclear.
CHOICE ARCHITECTURE PRESSURE,Reliability Concerns,reliability_concerns,"Doubt about the long-term performance of the product, grounded in observed evidence — reviews, reports, peer experience, or first-hand patterns. Differs from Risk Concerns by being evidence-anchored rather than speculative.","Evidence-cited doubt: 'I've heard these have [issue]', 'too many reports of [failure]', 'my friend's broke after [time]', 'reviews mention [problem] a lot'.",Not Risk Concerns (hypothetical). Not Competitor Reliability Issues (which target a rival brand's reliability). Reliability Concerns are observed-evidence doubts about *this* brand.,Mitchell (1999) consumer perceived risk re-examined; Roselius (1971) risk reduction,negative,"prospective, active_user","Risk Concerns, Competitor Reliability Issues, Decision Uncertainty",I've heard these have battery issues after about a year of use.,Too many reports of the hinge breaking — that's a red flag for me.,My friend's unit died after 8 months. Worried this is a pattern.
CHOICE ARCHITECTURE PRESSURE,Pros vs Cons Evaluation,pros_vs_cons_evaluation,Explicit listing or weighing of positives and negatives of an option. Reflects the additive compensatory decision strategy (Weighted Additive Rule — Bettman et al. 1998) where attributes are summed across favourable and unfavourable dimensions.,"Pro/con enumerative phrasing: 'on the plus side... on the minus...', '[positive] but [negative]', 'pros are X, cons are Y', 'love the [feature] but hate the [feature]'.",Not Trade-off Discussion (which is about *sacrificing* one attribute for another — a lexicographic or non-compensatory move). Pros vs Cons treats attributes as additive; Trade-off is about substitution.,"Bettman, Luce & Payne (1998) constructive choice; Payne (1976) decision strategies",neutral,prospective,"Trade-off Discussion, Feature Importance Discussion, Evaluation Initiation","Screen is great, but the battery life is a huge con for me.","Pros: build quality, software. Cons: price, weight. Still deciding.",I love the design but the lack of ports is killing me.
CHOICE ARCHITECTURE PRESSURE,Trade-off Discussion,trade_off_discussion,Explicit reasoning about what attribute must be sacrificed to gain another — non-compensatory decision logic where the consumer accepts a downside in exchange for a prioritised upside.,"Sacrifice-for-gain phrasing: 'okay with X if Y', 'willing to give up X for Y', 'trading [worse attribute] for [better attribute]'.",Not Pros vs Cons (additive). Not Feature Importance Discussion (which is *ranking* attributes without naming a trade). Trade-off Discussion explicitly accepts a sacrifice.,Tversky (1972) elimination by aspects; Payne (1976) decision strategies; Bettman et al. (1998),neutral,prospective,"Pros vs Cons Evaluation, Feature Importance Discussion, Value Evaluation Signals",I'm fine paying more if it means better customer support.,Willing to give up some battery life for a thinner design.,Happy to sacrifice portability for raw performance in this case.
CHOICE ARCHITECTURE PRESSURE,Feature Importance Discussion,feature_importance_discussion,Explicit ranking or weighting of which product attributes matter most to the consumer's decision. Reveals individual preference structure and attribute salience hierarchies (Bettman et al. 1998).,"Priority language: 'X matters more than Y', 'most important to me is [feature]', '[feature] is non-negotiable', 'I don't care about [feature]'.",Not Trade-off Discussion (which names a specific sacrifice). Not Pros vs Cons (which evaluates additively). Feature Importance Discussion sets the *weights* before evaluation.,"Bettman, Luce & Payne (1998); Wilkie & Pessemier (1973) multi-attribute models",neutral,"prospective, active_user","Pros vs Cons Evaluation, Trade-off Discussion, Evaluation Initiation",Honestly the camera doesn't matter much to me — storage is the priority.,For me battery life is non-negotiable; everything else is secondary.,Build quality matters most. Specs come second.
CHOICE ARCHITECTURE PRESSURE,Purchase Delay Signals,purchase_delay_signals,"Deferral of a purchase decision with an *explicit, reasoned cause* — waiting for a price drop, upcoming launch, financial readiness, or competitor announcement. Diagnostic because it reveals the specific blocker keeping conversion suspended.","Delay-with-reason language: 'holding off until [event]', 'waiting for [trigger]', 'going to wait and see if [condition]'.",Not Decision Timing Signals (neutral scheduling without specific reason). Not Decision Paralysis (which has no resolution plan). Purchase Delay has both intent and a named condition.,Greenleaf & Lehmann (1995) reasons for purchase delay; Anderson (2003) choice deferral,negative,prospective,"Discount Expectation, Product Launch Interest, Decision Timing Signals",Holding off until I see what their competitor launches next month.,Waiting for Black Friday — no way I'm paying full price.,Going to wait until the Gen 4 drops before deciding.
CHOICE ARCHITECTURE PRESSURE,Decision Timing Signals,decision_timing_signals,"Neutral statements about *when* a decision will be made, without a specific blocking cause. Indicates the consumer has a temporal frame for the decision but no urgency or external trigger.","Temporal placeholders: 'planning to decide next month', 'end of quarter', 'sometime soon', 'no rush'.",Not Purchase Delay (which carries an explicit reason for delay). Timing Signals are scheduling rather than blocking.,Greenleaf & Lehmann (1995); Bettman et al. (1998) decision context,neutral,prospective,"Purchase Delay Signals, Research Stage Signals",Planning to decide by the end of the month.,No rush — sometime in the next quarter probably.,I'll make up my mind once I get back from my trip.
CHOICE ARCHITECTURE PRESSURE,Research Stage Signals,research_stage_signals,"Self-reported indicators of where the consumer is in the funnel — early-stage browsing, mid-stage shortlisting, late-stage validation. Useful for funnel-stage attribution of subsequent signals.","Funnel-position language: 'just starting to look', 'early stages', 'still doing research', 'almost done deciding', 'late-stage check'.",Not Research Behaviour (Demand Gravity — which is the *activity* of research). Research Stage Signals are *self-localisation* in the funnel.,Howard-Sheth (1969) funnel stages; Court et al. (2009) Consumer Decision Journey,neutral,prospective,"Research Behaviour, Decision Timing Signals, Product Curiosity",Still in the very early stages of looking into this category.,Almost done with my research — final lap.,Just starting to explore. Not buying for a while.
